# Strain_x(Poisson) Strain_y(Poisson) Strain_z(longitudinal) Stress_xx(GPa) Stress_yy(GPa) Stress_zz(GPa) Stress_VM(GPa)
-1.68154100018087e-15 1.62159526585833e-15 0 0.00356167473958513 0.00299116427251634 0.00188885221682706 0.00147290686294138
-0.000198607043518346 -0.000229341945410277 0.000249999999999856 0.00886011441952665 0.0167795992219167 0.0182991463118306 0.00877845618425255
-0.000904603457849238 -0.00122761209154468 0.000500000000000062 0.0133172397427305 0.00750825518779898 0.0210541252939162 0.0117706052631838
-0.00218009078837782 -0.00259867206381854 0.000749999999999918 0.00437880433648595 0.00133355924619285 0.0245608716249485 0.021864324801332
-0.00362731963852779 -0.00381457356198631 0.000999999999999949 0.00657354393688588 0.000238772406545605 0.0179686907602959 0.0155616307998123
-0.00510500953251643 -0.00474876464952028 0.00124999999999998 -0.000266765934382757 -0.00014793379961668 0.0161287668431496 0.0163364408600775
-0.00633108237793302 -0.00550592766872895 0.00149999999999984 0.0038556596732288 0.00366818917842152 0.0147431227705574 0.0109823984619102
-0.00743316816903867 -0.00628774577064596 0.00175000000000004 0.00391606121641376 0.0053996358574574 0.0211952402189906 0.016587226077086
-0.00849013840749939 -0.00717325959618227 0.0019999999999999 0.00250095254837831 0.00352870402009596 0.0259734972428589 0.0229759153281713
-0.00946153712157926 -0.00798978346996978 0.00224999999999993 0.00490004701539651 -0.00166808096821515 0.0296937157864392 0.0286481117354838
-0.010471877873105 -0.00858343378530614 0.00249999999999996 0.0103835825577017 0.00387972322102782 0.0308128041254987 0.0243417760973204
-0.0116770784224534 -0.00916741812277755 0.00274999999999999 0.000965068203876788 -0.00108737679557753 0.024119072773458 0.0242454692464417
-0.0127573918688909 -0.00959715326006482 0.00300000000000002 0.00360658405286031 0.00170303280909263 0.0233525556645237 0.0207632938390576
-0.0138039520074151 -0.00998598211561226 0.00324999999999988 0.0048707035893356 0.00488094754684509 0.023939791008335 0.019063967504453
-0.014859064690376 -0.0105841567468242 0.00349999999999991 0.00407621688014815 0.0109775475687025 0.0317133275237747 0.0249139601463317
-0.0158019062434301 -0.0115532449919283 0.00374999999999994 -0.00628440159515512 0.0107917689123801 0.0339764648486468 0.0350004506518503
-0.0164438766855079 -0.012816962633647 0.00399999999999997 0.00531088237439816 0.00278838490585618 0.0289252076747916 0.0249713121133666
-0.0171858452352051 -0.0140165625344853 0.00425 0.0051478193947788 0.00537208125846214 0.0254919577215925 0.020232939560722
-0.0179252862245616 -0.0151417747139758 0.00449999999999986 -0.0044984229632892 0.00119187040637161 0.0232364429274924 0.0253728733320785
-0.0183665954789722 -0.0160625037154244 0.00475000000000006 0.00357681350391248 -0.00453344694920541 0.0280795123191502 0.0294088735425813
-0.0188524540257345 -0.0166274318162468 0.00499999999999992 0.00648770864982721 0.00303391904850392 0.03699903350706 0.032376678391526
-0.0195493057662358 -0.0172227555633249 0.00524999999999995 0.0106577564415449 0.00979543112358237 0.0381140342713192 0.027897437888261
-0.0205766586891307 -0.0180837726131044 0.00549999999999998 0.0086045411205384 0.002888991984979 0.0383814745874654 0.0330079504809265
-0.0217806414979224 -0.0189247587138124 0.00574999999999984 0.000192031487571989 0.00495584602460207 0.0413905027798491 0.0390351903968488
-0.0227792430098834 -0.0198245136889015 0.00600000000000004 -5.50860209102471e-06 0.00961437753169622 0.0340738140830197 0.0304319444031363
-0.023559120217908 -0.0209411888048376 0.0062499999999999 -0.00200094383267327 0.000548592788108308 0.0361336218490813 0.0369258685069631
-0.0241107441196152 -0.0218929826950822 0.00649999999999993 -9.90043803883666e-05 -0.00515057468037152 0.0336246117851054 0.0365124344244925
-0.0246446888751958 -0.0225297182817105 0.00674999999999996 0.0156277681147143 0.00712394202126588 0.0393269061735933 0.0289049745126813
-0.0256647834927249 -0.0233121500085443 0.00699999999999999 0.000155171628388126 0.00471679838938574 0.0326462641682293 0.0304674793167302
-0.0266383360637994 -0.0242274939768795 0.00725000000000002 0.00438140608155415 0.00837903282413193 0.033969302738777 0.0278054541634898
-0.0275707707294798 -0.0253457192881311 0.00749999999999988 0.00114500888004696 0.00361232587468045 0.0366288749361708 0.0343167955626013
-0.0284846578618753 -0.0265037625205234 0.00774999999999991 0.00516338853620537 0.0101116133430826 0.0358700532832117 0.0285559224748009
-0.0294379076863846 -0.0278288974563169 0.00799999999999994 0.00317111853117918 0.00794259514624925 0.0386454317180401 0.0333455998500683
-0.0303251113164471 -0.0291747199972653 0.00824999999999997 0.00527487176258279 0.00423197499864468 0.0348228315158561 0.0300829691162451
-0.0312571471434722 -0.0304550894540597 0.0085 0.00910394537920758 0.0113047763679924 0.0395347372210179 0.0293922391025602
-0.0323513456274925 -0.0318647773356879 0.00874999999999986 0.00162414950421692 0.00175465562378881 0.0360595750295707 0.0343703582931326
-0.0332783347729902 -0.0331035394738033 0.00899999999999989 0.000959679343697495 0.00991959259412007 0.0338152484033803 0.0294174338636574
