Strain_x Strain_y Strain_z Stress_xx(GPa) Stress_yy(GPa) Stress_zz(GPa) Stress_VM(GPa)
0.00149999999999986 8.78096893246196e-05 -0.00133117775811399 0.6297529680923 0.17526446494824 0.0105887287124206 0.555446780943864
0.00199999999999976 -0.000123483592289938 -0.0016311961095747 0.51059340320238 0.0818392158439845 -0.124906191356997 0.561441693883341
0.00249999999999997 -0.000534319037920192 -0.00159104371808957 0.680987553883215 -0.110135214936883 0.19272548328284 0.691375327683409
0.00299999999999987 -0.000561552633523102 -0.00184843196073387 0.574805880797141 0.00999575955744388 0.112461405449772 0.521187152339334
0.00349999999999977 -0.000388533330191404 -0.00215147331915544 0.881257747298762 0.0835319451275781 0.0110147267292149 0.836345657388111
0.00399999999999999 -0.000515521044781053 -0.00234575466509239 0.847336372704171 -0.0997154497086357 0.0856275334063902 0.86932719145031
0.00449999999999989 -0.000569840296400283 -0.00271030114269594 0.745664837311695 -0.0702484325667846 0.204251073794565 0.719094328402818
0.00499999999999979 -0.000747912050610402 -0.00340013999180155 0.826886518333366 0.113052335521574 -0.250898169295413 0.949641785989376
0.00549999999999969 -0.00102964617777697 -0.0032362668675042 0.995704363069459 0.0362329839804482 0.0618087040625981 0.946942592415334
0.00599999999999991 -0.00122276240601502 -0.0032281837038697 1.14149658483193 -0.0312295269240534 -0.0335718291650391 1.17389901549227
0.00649999999999981 -0.00152439180657219 -0.0034092078395845 1.20439708625434 -0.0250960140303024 0.118544481916323 1.16433709768069
0.00699999999999971 -0.00171195329310211 -0.00391586003285836 1.46680086369184 0.132287834558018 0.135200204798541 1.3330592300407
0.00749999999999992 -0.00180981780724202 -0.00443810422441557 1.35186452108402 -0.0459015129815762 -0.208303407660043 1.48563929459074
0.00799999999999982 -0.00201735482349623 -0.00433610390905458 1.70047330473967 0.0572303109686937 0.0911779076371919 1.62653491370954
0.00849999999999972 -0.00224211849411439 -0.00452521580461575 1.5888048365376 0.0235594552139328 0.0916656154120523 1.53232786965525
0.00899999999999994 -0.00205484610895058 -0.00507423946472131 1.64735927650756 0.173815326859079 0.0809392065457756 1.52210866577409
0.00949999999999984 -0.00222720027583986 -0.00555077884005465 1.82848456472531 0.0222833657745253 -0.0729881932548631 1.85567212761197
0.00999999999999974 -0.00257313483268261 -0.00578490217418691 1.85863871192223 -0.0725647817762403 -0.0919872568093784 1.94098761414128
0.0105 -0.00269236396804389 -0.0058296738356444 2.00074185662267 0.0223734784855744 0.18321969793637 1.9030501495284
0.0109999999999999 -0.00255025898375974 -0.00625446851860964 1.97193627647599 0.0945400424468851 -0.0808980276498862 1.97097993599401
0.0114999999999998 -0.00278060109211332 -0.00641100850177502 1.90113237739696 -0.162252629354341 0.0748079331243045 1.95566054980364
0.012 -0.00291746495343942 -0.00664119630263096 2.07102639922346 0.0697907510518334 -0.0143623225993255 2.04461145213749
