# step time com_z vz_proj speed_proj penetration_depth
6000 1.5 156.662381944039 -6.99999999999998 6.99999999999998 0
6050 1.525 156.488382101946 -6.92349194029918 6.92364919418264 0
6100 1.55 156.316244340777 -6.86536438311261 6.86555904823198 0
6150 1.575 156.144458006735 -6.87695871562301 6.87716097004245 0
6200 1.6 155.972267704446 -6.89808469683564 6.89819271883847 0
6250 1.625 155.799829584688 -6.88697050836776 6.88698134800747 0
6300 1.65 155.627603922745 -6.89892405954384 6.89892417620317 0
6350 1.675 155.455145886798 -6.89020729359312 6.89022202260597 0
6400 1.7 155.283053374141 -6.88673836812971 6.88678607506054 0
6450 1.725 155.110814666074 -6.87520051902039 6.87525268701055 0
6500 1.75 154.939091371174 -6.85775195759883 6.85780045735053 0
6550 1.775 154.767880459627 -6.84975578881726 6.84986153988862 0
6600 1.8 154.596672648931 -6.85113171307034 6.85164123156547 0
6650 1.825 154.425296529575 -6.86115872021899 6.86162622189008 0
6700 1.85 154.253412087263 -6.89585108902348 6.89656103518547 0
6750 1.875 154.080776395233 -6.91765688492925 6.91869415905317 0
6800 1.9 153.907588071063 -6.9210641932187 6.92293973041958 0
6850 1.925 153.734765505114 -6.92109743115288 6.92287822767664 0
6900 1.95 153.561831867551 -6.92853047171782 6.93067144376389 0
6950 1.975 153.38804490496 -6.96365622453098 6.96644240609372 0
7000 2 153.21356965919 -6.99552432971243 6.99799560452395 0
7050 2.025 153.038111553007 -7.04492402921769 7.05117357409868 0
7100 2.05 152.86107790485 -7.12024250661379 7.13066465157561 0
7150 2.075 152.683195556075 -7.12481344774179 7.13617306260067 0
7200 2.1 152.504686588881 -7.13883924256836 7.15426197135272 0
7250 2.125 152.326110965641 -7.15284710600832 7.17459663096415 0
7300 2.15 152.147622525907 -7.12545383393339 7.15270110545462 0
7350 2.175 151.970283739541 -7.07696012853647 7.1154397132421 0
7400 2.2 151.793614704221 -7.06954090195185 7.10950163809759 0
7450 2.225 151.617355823853 -7.00701805882092 7.05131443591048 0
7500 2.25 151.443862416321 -6.9035904632527 6.95668735915861 0
7550 2.275 151.272190020047 -6.86725229500365 6.93063970142261 0
7600 2.3 151.101148464134 -6.79700080025024 6.85908112622848 0
7650 2.325 150.930993725037 -6.81059515083338 6.88387970341148 0
7700 2.35 150.75943787374 -6.93911387270328 7.03508558164835 0
7750 2.375 150.584621783963 -6.97162393308348 7.05071345695328 0
7800 2.4 150.412869268644 -6.76589958877139 6.83455535767536 0
7850 2.425 150.244587670777 -6.72340377740821 6.80273298182701 0
7900 2.45 150.077779346537 -6.62887522202079 6.70813640017848 0
7950 2.475 149.913504973346 -6.55465992186874 6.61428883816599 0
8000 2.5 149.748327426713 -6.6468543969452 6.70195194286145 0
8050 2.525 149.581685602828 -6.63740828563461 6.69275502380869 0
8100 2.55 149.415710923718 -6.63259597807153 6.69979628474834 0
8150 2.575 149.249580264992 -6.67519298988514 6.7389054823426 0
8200 2.6 149.082932686596 -6.66575868546539 6.72259968016333 0
8250 2.625 148.916975617616 -6.63234691110429 6.68609067460004 0
8300 2.65 148.751640351199 -6.58819594015099 6.62787697178332 0
8350 2.675 148.58752738813 -6.53066509293439 6.56361380981231 0
8400 2.7 148.425122809098 -6.50064467844278 6.5428127261329 0
8450 2.725 148.262559692126 -6.46163639535428 6.50457131755935 0
8500 2.75 148.102726797648 -6.35910421819779 6.40295877665927 0
8550 2.775 147.943431282698 -6.38722180734065 6.42967918175402 0
8600 2.8 147.784092824578 -6.39360480860612 6.42739842359236 0
8650 2.825 147.624209425363 -6.39741714271045 6.43203748535025 0
8700 2.85 147.464492349064 -6.39738051437403 6.41943710727012 0
8750 2.875 147.303518944351 -6.45893179584865 6.4845428141595 0
8800 2.9 147.141827469463 -6.5011082290741 6.53043297745641 0
8850 2.925 146.978312114174 -6.56793342477919 6.59674765691504 0
8900 2.95 146.813596018372 -6.64375912680296 6.67561046631868 0
8950 2.975 146.645522476364 -6.78452283007489 6.82692011710862 0
9000 3 146.47436112778 -6.89729181688015 6.95435154526613 0
9050 3.025 146.301690218784 -6.91707085087966 6.98542141855641 0
9100 3.05 146.128150962692 -6.96018203836152 7.04097181191373 0
9150 3.075 145.95214817309 -7.17412589478753 7.26262821152078 0
9200 3.1 145.767828341428 -7.62828062389512 7.75414083208061 0
9250 3.125 145.574954340962 -7.57538000811442 7.69604888486919 0
9300 3.15 145.387781018571 -7.49990117785874 7.61029593540791 0
9350 3.175 145.19850976601 -7.59550561359403 7.71586317618603 0
9400 3.2 145.009661791201 -7.56025663994031 7.67650737782711 0
9450 3.225 144.819733889033 -7.57380785292821 7.66847431340334 0
